$,','s,",",2022,:,?,a,after,and,at,be,business,by,cnbc,driver,for,from,get,have,how,in,it,life,more,new,news,of,on,reuters,s,stock,switch,the,thestreet,time,to,verge,will,with,york,|,–,’
-4.0897164101168855,-4.5265062873620625,-3.2289319751554184,-2.2240777011372543,-4.141595262531334,-3.3910234628856255,-3.5545188249317974,-3.12738376198806,-4.794048252264726,-3.341969980183032,-4.040396750640371,-3.2289319751554184,-4.607984558088011,-4.196313506225692,-5.022831398121151,-4.901911328664426,-3.3661959711651424,-4.6966951708306,-4.0897164101168855,-4.254200035272391,-3.9485047782924156,-4.196313506225692,-4.141595262531334,-4.607984558088011,-4.451169470725938,-3.786732396048425,-4.381112820791396,-3.786732396048425,-3.750071398985254,-5.022831398121151,-4.141595262531334,-4.040396750640371,-3.82478873880041,-2.4321144623718576,-3.993395618806637,-4.254200035272391,-3.052972354112109,-5.160410634359147,-4.6966951708306,-4.0897164101168855,-4.381112820791396,-4.254200035272391,-3.6475226079007186,-3.8643508601104553
-4.015166188587145,-4.629755127868519,-3.229551164194296,-2.2380527839819226,-4.163365832311843,-3.4127940326661337,-3.547115797165823,-3.188545009152514,-4.923681898444935,-3.294396694921351,-4.015166188587145,-3.2088379133041856,-4.629755127868519,-4.337414990674231,-5.044601967901659,-4.923681898444935,-3.3879665409456505,-4.815818822045234,-4.163365832311843,-4.4729400405064474,-3.8861214298909634,-3.927313414829324,-3.771841968765762,-4.629755127868519,-4.4729400405064474,-3.808502965828933,-4.337414990674231,-3.970275348072924,-3.736477604632738,-5.044601967901659,-4.163365832311843,-4.111486979897394,-3.846559308580918,-2.3531410534117434,-4.015166188587145,-4.163365832311843,-3.074742923892617,-4.629755127868519,-4.718465740611109,-4.337414990674231,-4.402883390571904,-4.337414990674231,-3.771841968765762,-3.808502965828933
-4.010321104737265,-4.666619524927496,-3.156991697620573,-2.4514169352958683,-4.224124389369287,-3.439357871232172,-3.585474929299777,-3.005127939363522,-4.763972606361621,-3.26513499831363,-4.059640764213781,-3.2204647758839267,-4.666619524927496,-4.224124389369287,-4.992755752218047,-4.871835682761322,-3.2425504792377384,-4.577908912184906,-4.166237860322589,-4.224124389369287,-3.585474929299777,-4.224124389369287,-3.834275214207351,-4.666619524927496,-4.421093824822835,-3.9633199729035327,-4.166237860322589,-3.834275214207351,-3.617446961997614,-4.992755752218047,-4.285568774990619,-4.010321104737265,-3.5544935170926637,-2.4615920332578476,-3.9184291323893112,-4.351037174888291,-3.0594104395676287,-4.666619524927496,-4.577908912184906,-4.111519616628231,-4.577908912184906,-4.496430641458959,-3.8754671991457115,-3.9633199729035327
-4.239704803559716,-4.682199939117925,-3.258130893428168,-2.3082006659479184,-4.301149189181048,-3.3517007394524674,-3.4825034265182033,-3.074990853758058,-4.8874160969517515,-3.258130893428168,-3.891047613336141,-3.3517007394524674,-4.436674239013264,-4.366617589078721,-5.008336166408476,-5.008336166408476,-3.4825034265182033,-4.682199939117925,-4.181818274513018,-4.0752211784042105,-3.700211803139555,-4.239704803559716,-3.700211803139555,-4.779553020552051,-4.593489326375336,-3.735576167272579,-4.181818274513018,-3.8498556283977803,-3.6330273761880436,-5.145915402646472,-4.181818274513018,-4.0752211784042105,-3.891047613336141,-2.487452143233604,-3.8498556283977803,-4.366617589078721,-2.936312817108341,-4.593489326375336,-4.593489326375336,-4.12710003081866,-4.301149189181048,-4.366617589078721,-3.8498556283977803,-3.9340095465797407
-4.218912013991268,-4.549104795127638,-3.209665851289252,-2.3715472256979906,-4.16419377029691,-3.388794478930717,-3.6381490829684564,-3.112084593236308,-4.8166467600303005,-3.1499822697536346,-4.015994126572211,-3.1499822697536346,-4.473767978491514,-4.4037113285569705,-5.045429905886726,-4.924509836430001,-3.3645684879486066,-4.719293678596175,-4.16419377029691,-4.276798543037966,-3.7726699067508287,-4.0629952584059446,-3.607167670761343,-4.630583065853585,-4.4037113285569705,-3.9711032860579905,-4.218912013991268,-4.015994126572211,-3.6701211156662934,-5.183009142124722,-4.11231491788246,-3.9711032860579905,-3.7726699067508287,-2.4168941315716754,-4.0629952584059446,-4.276798543037966,-3.057802093032201,-4.630583065853585,-4.630583065853585,-4.11231491788246,-4.473767978491514,-4.4037113285569705,-3.847387246565985,-3.88694936787603
-3.9992109858300444,-4.701652698869239,-3.2210519027692883,-2.264412057574609,-4.235263403312564,-3.388878784997963,-3.6190133681665433,-3.0773847202368882,-4.887716393045954,-3.3662942659220714,-4.042172919073645,-3.280735484304906,-4.620174428143292,-4.289981647006922,-5.254078775140376,-5.11649953890238,-3.280735484304906,-4.701652698869239,-4.134064891421598,-4.34786817605362,-3.8083751756334583,-4.235263403312564,-3.8083751756334583,-4.620174428143292,-4.544837611507168,-3.8437395397664824,-4.289981647006922,-3.8804005368296535,-3.648186965713026,-5.11649953890238,-4.087063759587865,-4.087063759587865,-3.6782373037769966,-2.4426168587136443,-3.8804005368296535,-4.289981647006922,-2.997058963349497,-4.887716393045954,-4.701652698869239,-4.087063759587865,-4.474780961572624,-4.34786817605362,-3.741190748681947,-3.8437395397664824
-3.8935483095998875,-4.480366920215371,-3.0644010347560586,-2.3870525319593314,-4.225510955715125,-3.324408093706167,-3.644748024692314,-3.0821698036015412,-5.0520288476105835,-3.301823574630275,-3.8935483095998875,-3.1002600219659513,-4.555703736851495,-4.225510955715125,-5.0520288476105835,-4.931108778153858,-3.371167429672464,-4.823245701754158,-4.170792712020766,-4.410310270280828,-3.815929845537857,-4.170792712020766,-3.977702227781848,-4.480366920215371,-4.2833974847618235,-3.779268848474686,-4.2833974847618235,-3.743904484341662,-3.743904484341662,-5.189608083848579,-4.118913859606318,-4.02259306829607,-3.709748158545021,-2.4328145427288437,-3.977702227781848,-4.480366920215371,-3.1186835349601654,-4.823245701754158,-4.823245701754158,-4.2833974847618235,-4.555703736851495,-4.480366920215371,-3.743904484341662,-3.779268848474686
-4.002438910874234,-4.570026718321875,-3.169822754647652,-2.3379515334235723,-4.277686581127587,-3.3530656231194893,-3.516560985165661,-3.149109503757541,-4.756090412498589,-3.2346682853747066,-3.955437779040501,-3.108927320268783,-4.488548447595926,-4.570026718321875,-4.984873558355015,-4.863953488898289,-3.3040121404168956,-4.756090412498589,-4.216242195506255,-4.216242195506255,-3.786830899034274,-4.051758570350749,-3.955437779040501,-4.488548447595926,-4.343154981025259,-4.158355666459556,-4.277686581127587,-3.826393020344319,-3.786830899034274,-5.122452794593011,-4.103637422765198,-4.051758570350749,-3.7487745562822887,-2.4743760016308523,-3.826393020344319,-4.343154981025259,-3.015014514345973,-4.658737331064464,-4.570026718321875,-4.051758570350749,-4.756090412498589,-4.488548447595926,-3.826393020344319,-3.8675850052826797
-3.909857627984277,-4.496676238599761,-3.2744387430292403,-2.2236978444950113,-4.0389023866804585,-3.363823800531014,-3.6930293757745405,-3.098479121985931,-4.947418096538248,-3.25328736228761,-3.951049612922638,-3.2325741113974993,-4.572013055235885,-4.241820274099515,-5.205917402232969,-4.8395550201385475,-3.3181328930146647,-4.947418096538248,-4.241820274099515,-4.241820274099515,-3.7602138027260517,-4.0389023866804585,-3.832239163922247,-4.742201938704422,-4.4266195886652175,-3.870295506674232,-4.4266195886652175,-3.795578166859076,-3.7260574769294106,-5.068338165994973,-4.361151188767545,-4.187102030405157,-3.795578166859076,-2.4214161410635304,-3.951049612922638,-4.187102030405157,-3.063251809147184,-4.8395550201385475,-4.496676238599761,-4.187102030405157,-4.496676238599761,-4.361151188767545,-3.795578166859076,-4.135223177990707
-3.963627050474153,-4.809170524446463,-3.244054247337156,-2.231404486383152,-4.1567175347130725,-3.310332916398472,-3.7651936711669913,-3.244054247337156,-4.917033600846164,-3.202189615705415,-4.055519022822107,-3.4577301464198253,-4.466291742907677,-4.330766693075461,-5.037953670302889,-5.037953670302889,-3.3334393048389295,-4.711817443012338,-4.104838682298623,-4.269322307454129,-3.662644880082456,-4.104838682298623,-3.8018546682301624,-4.541628559543801,-4.396235092973133,-3.7651936711669913,-4.269322307454129,-3.9206651172305533,-3.662644880082456,-5.037953670302889,-4.1567175347130725,-3.963627050474153,-3.729829307033967,-2.49661485338071,-3.963627050474153,-4.1567175347130725,-2.982249221004542,-4.917033600846164,-4.809170524446463,-4.1567175347130725,-4.330766693075461,-4.330766693075461,-3.8018546682301624,-3.9206651172305533
-4.084284504463689,-4.837936006088045,-3.1907729138582384,-2.129340623017854,-3.949430598872135,-3.4349112167089446,-3.6594383290262007,-3.2309550973469965,-4.945799082487746,-3.251668348237107,-4.037283372629956,-3.362204786480511,-4.7405829246539195,-4.084284504463689,-5.06671915194447,-4.945799082487746,-3.385857734006351,-4.945799082487746,-4.185483016354654,-4.29808778909571,-3.758594788675549,-4.185483016354654,-3.724438462878908,-4.5703940411853825,-4.425000574614715,-3.9082386139337744,-4.359532174717042,-3.9923925321157347,-3.6914103617240377,-5.06671915194447,-4.185483016354654,-4.185483016354654,-3.793959152808573,-2.4475048470627305,-3.949430598872135,-4.425000574614715,-3.0616327950966813,-4.837936006088045,-4.7405829246539195,-4.037283372629956,-4.425000574614715,-4.29808778909571,-3.628456916819087,-3.9082386139337744
-4.069594200129803,-4.823245701754158,-3.2369780439032203,-2.2454796636908467,-4.02259306829607,-3.4456805359863782,-3.5261961077203106,-3.1760826095243515,-5.0520288476105835,-3.2581294246448507,-3.934740294538248,-3.2581294246448507,-4.637182007577444,-4.225510955715125,-5.189608083848579,-4.931108778153858,-3.4986309666247086,-4.725892620320033,-4.2833974847618235,-4.225510955715125,-3.644748024692314,-4.069594200129803,-3.815929845537857,-4.555703736851495,-4.3448418703831555,-3.779268848474686,-4.3448418703831555,-3.977702227781848,-3.6137666124852004,-5.189608083848579,-4.118913859606318,-4.3448418703831555,-3.676720057390151,-2.4807715646401975,-3.815929845537857,-4.170792712020766,-3.156581211477492,-4.725892620320033,-4.555703736851495,-4.170792712020766,-4.410310270280828,-4.2833974847618235,-3.676720057390151,-3.8539861882898423
-3.9718616854647775,-4.674303398503973,-3.1558049258866947,-2.2370627572093422,-4.156035250532847,-3.361529484632696,-3.4828019269129076,-3.1373814128924806,-4.968230169080387,-3.29525081557138,-3.9718616854647775,-3.213204000450881,-4.592825127778024,-4.320518875688353,-5.089150238537113,-4.860367092680687,-3.361529484632696,-4.860367092680687,-4.262632346641654,-4.320518875688353,-3.681869415618843,-4.262632346641654,-3.7468695494715503,-4.674303398503973,-4.5174883111419,-3.9718616854647775,-4.207914102947296,-3.71384144831668,-3.71384144831668,-5.226729474775109,-4.320518875688353,-4.059714459222599,-3.8163902394012155,-2.4793451110895797,-3.8530512364643865,-4.447431661207357,-3.0171268892369776,-4.674303398503973,-4.5174883111419,-4.106715591056332,-4.763014011246562,-4.447431661207357,-3.71384144831668,-4.059714459222599
-4.088021953970645,-4.524811831215823,-3.185372887377437,-2.303874802648786,-4.194619050079453,-3.613856119056641,-3.5236507712390743,-3.145190703888679,-4.792353796118485,-3.293516188070494,-3.862656403964215,-3.145190703888679,-4.524811831215823,-4.252505579126151,-5.021136941974911,-4.792353796118485,-3.293516188070494,-4.792353796118485,-4.313949964747483,-4.194619050079453,-3.9038483889025755,-4.252505579126151,-3.8230942826541696,-4.60629010194177,-4.524811831215823,-3.8230942826541696,-4.252505579126151,-3.7483769428390135,-3.7483769428390135,-5.021136941974911,-4.524811831215823,-4.088021953970645,-3.7850379399021845,-2.3472542617861754,-3.9038483889025755,-4.449475014579699,-3.0693681163302786,-4.792353796118485,-4.449475014579699,-4.313949964747483,-4.449475014579699,-4.252505579126151,-3.645828151754478,-4.088021953970645
-4.171614526304129,-4.638003821860806,-3.176904423807714,-2.269872650968889,-4.11973567388968,-3.3962152349379373,-3.5270179220036733,-3.1574030257608547,-4.9319305924372205,-3.2170866072964723,-4.070416014413166,-3.1574030257608547,-4.638003821860806,-4.171614526304129,-5.052850661893946,-4.9319305924372205,-3.4210427266584205,-4.638003821860806,-4.171614526304129,-4.345663684666518,-3.6455698389756765,-4.070416014413166,-3.854808002573205,-4.638003821860806,-4.638003821860806,-3.89437012388325,-4.411132084564191,-3.89437012388325,-3.780090662758049,-5.052850661893946,-4.11973567388968,-4.0234148825794325,-3.854808002573205,-2.387874346242694,-3.9785240420652106,-4.284219299045186,-3.047764305046157,-4.726714434603395,-4.638003821860806,-4.171614526304129,-4.481188734498733,-4.284219299045186,-3.935562108821611,-3.89437012388325
